"catmat","item_tratado","outcome","doador_catmat","descricao_doador","omega"
603269,"Açúcar cristal comum","median_preco","249817","VINAGRE, MATÉRIA-PRIMA: VINHO TINTO , TIPO: NEUTRO , ACIDEZ: 4 PER, ASPECTO FÍSICO: LÍQUIDO , ASPECTO VISUAL: LÍMPIDO E SEM DEPÓSITOS ",0.110517254139398
603269,"Açúcar cristal comum","median_preco","217785","REFRIGERANTE, MATERIAL: ÁGUA GASOSA/XAROPE , SABOR: GUARANÁ ",0.105020941954143
603269,"Açúcar cristal comum","median_preco","463805","LEGUME IN NATURA, TIPO: TOMATE ITALIANO ",0.0766994919318831
603269,"Açúcar cristal comum","median_preco","217783","REFRIGERANTE, MATERIAL: ÁGUA GASOSA/XAROPE , SABOR: UVA ",0.0763587349627787
603269,"Açúcar cristal comum","median_preco","217782","REFRIGERANTE, MATERIAL: ÁGUA GASOSA/XAROPE , SABOR: LIMÃO ",0.0183643516470704
603269,"Açúcar cristal comum","median_preco","464392","FRUTA, TIPO: GOIABA VERMELHA , APRESENTAÇÃO: NATURAL ",0.0162758769515366
603269,"Açúcar cristal comum","median_preco","459017","FARINHA DE MILHO, GRÃO: AMARELO , TIPO: FLOCADA , APRESENTAÇÃO: PRÉ-COZIDA , CARACTERÍSTICA ADICIONAL: TRANSGÊNICO , INGREDIENTE ADICIONAL: FORTIFICADA COM FERRO E ÁCIDO FÓLICO ",0.0104897259121389
603269,"Açúcar cristal comum","median_preco","463551","ACHOCOLATADO, APRESENTAÇÃO: LÍQUIDO , SABOR: TRADICIONAL , CARACTERÍSTICA ADICIONAL: ENRIQUECIDO COM VITAMINAS ",0.00444710372388141
603269,"Açúcar cristal comum","median_preco","458910","ARROZ BENEFICIADO, TIPO: PARBOILIZADO , SUBGRUPO: INTEGRAL , CLASSE: LONGO FINO , QUALIDADE: TIPO 1 ",0.0025278963579785
603269,"Açúcar cristal comum","median_preco","458920","FARINHA DE MANDIOCA, GRUPO: SECA , SUBGRUPO: BRANCA TORRADA , CLASSE: FINA , ASPECTO FÍSICO: TIPO 1 , ACIDEZ: BAIXA ACIDEZ ",0.00167215829921687
606522,"Café torrado moído torra escura","n_fornecedores","464377","FRUTA, TIPO: BANANA DA TERRA / BANANA COMPRIDA , APRESENTAÇÃO: NATURAL ",0.279488761077572
606522,"Café torrado moído torra escura","n_fornecedores","458908","ARROZ BENEFICIADO, TIPO: PARBOILIZADO , SUBGRUPO: POLIDO , CLASSE: LONGO FINO , QUALIDADE: TIPO 1 ",0.265983554393846
606522,"Café torrado moído torra escura","n_fornecedores","463837","VERDURA IN NATURA, TIPO: BRÓCOLIS COMUM ",0.168357398682905
606522,"Café torrado moído torra escura","n_fornecedores","447581","CARNE DE AVE IN NATURA, TIPO ANIMAL: FRANGO , TIPO CORTE: FILÉ DE PEITO , APRESENTAÇÃO: FATIADO , ESTADO DE CONSERVAÇÃO: CONGELADO(A) , PROCESSAMENTO: SEM PELE, SEM OSSO ",0.13440854453435
606522,"Café torrado moído torra escura","n_fornecedores","464400","FRUTA, TIPO: MAÇÃ GALA , APRESENTAÇÃO: NATURAL ",0.0508318290938301
606522,"Café torrado moído torra escura","n_fornecedores","463819","VERDURA IN NATURA, TIPO: AGRIÃO ",0.050051015298476
606522,"Café torrado moído torra escura","n_fornecedores","463699","GORDURA VEGETAL, TIPO: MARGARINA , SUBTIPO: CREMOSA , COMPOSIÇÃO BÁSICA: MÍNIMO DE 80% DE GORDURA , SABOR: COM SAL ",0.0352902996687659
